date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:38	127405/127405	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:37%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/6a10b0b0.png?quality=71	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/6a10b0b0bbd5.png	(from https://app.lanchinhofelizoficial.site/)
13:35:40	131562/131562	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:39%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/d5f9c7a.png?quality=86	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/d5f9c7aa763.png	(from https://app.lanchinhofelizoficial.site/)
13:35:40	181857/181857	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:40%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page3451/6cc1d21.png?quality=81	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page3451/6cc1d212940.png	(from https://app.lanchinhofelizoficial.site/)
13:35:42	139398/139398	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:41%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/046ac4907.jpg?quality=79	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/046ac4907e10e.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:44	136091/136091	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:43%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/246ac4907.jpg?quality=89	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/246ac4907e280.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:45	76321/76321	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:44%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/346ac4907.jpg?quality=73	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/346ac4907bb1b.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:47	163384/163384	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:46%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/446ac4907.jpg?quality=84	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/446ac49070059.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:49	138022/138022	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:48%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/546ac4907.jpg?quality=74	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/546ac490785ed.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:51	161796/161796	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:50%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/646ac4907.jpg?quality=90	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/646ac4907f77a.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:52	134964/134964	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:51%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/146ac4907.jpg?quality=81	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page5218/146ac49072940.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:53	10247/10247	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:53%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page3451/27e551e.png?quality=84	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page3451/27e551e0059.png	(from https://app.lanchinhofelizoficial.site/)
13:35:53	8626/8626	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:53%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page6836/177fb74d.png?quality=78	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page6836/177fb74da395.png	(from https://app.lanchinhofelizoficial.site/)
13:35:54	11563/11563	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:55%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/204179b.jpg?quality=82	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/204179bbe0f.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:55	11563/11563	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:55%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/4cf9bd6.jpg?quality=80	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/4cf9bd6f239.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:55	63409/63409	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:55%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/385e9589.jpg?quality=83	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/385e95894b2d.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:55	28139/28139	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:56%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/50f6f8ed.jpg?quality=87	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/50f6f8ed4ef7.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:56	11563/11563	---M--	200	added ('OK')	image/jpeg	date:Fri,%2016%20Jan%202026%2016:35:56%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/bfa0.jpg?quality=74	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/bfa085ed.jpg	(from https://app.lanchinhofelizoficial.site/)
13:35:56	20703/20703	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:57%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/af60913.png?quality=72	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/clone/page505259/af60913ad54.png	(from https://app.lanchinhofelizoficial.site/)
13:36:00	1040633/1040633	---M--	200	added ('OK')	image/png	date:Fri,%2016%20Jan%202026%2016:35:57%20GMT	https://media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/b9hkf/peLdxl0923415.png?quality=86	C:/Meus%20Sites/teste/media.atomicatpages.net/u/8laVCwWi0DZ5gTheBCxkVoHXeed2/Pictures/b9hkf/peLdxl0923415a763.png	(from https://app.lanchinhofelizoficial.site/)
13:36:03	23148/23148	---MCZ	200	added ('OK')	application/javascript	etag:%22696a2b20-5a6c%22	https://app.lanchinhofelizoficial.site/js/mbQIat5531437.js	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/js/mbQIat5531437.js	(from https://app.lanchinhofelizoficial.site/)
13:36:04	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:05%20GMT	https://app.lanchinhofelizoficial.site/signals/config/	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/signals/config/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:04	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:05%20GMT	https://app.lanchinhofelizoficial.site/t	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/t.21.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:05	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:05%20GMT	https://app.lanchinhofelizoficial.site/e	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/e	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:06	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:06%20GMT	https://app.lanchinhofelizoficial.site/signals/plugins/	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/signals/plugins/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:06	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:07%20GMT	https://app.lanchinhofelizoficial.site/t.resolvedLink	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/t.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:06	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:07%20GMT	https://app.lanchinhofelizoficial.site/schema.org/	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:07	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:07%20GMT	https://app.lanchinhofelizoficial.site/o	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/o	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:07	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:08%20GMT	https://app.lanchinhofelizoficial.site/signals/iwl.js	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:08	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:08%20GMT	https://app.lanchinhofelizoficial.site/signals/iwl.js?pixel_id=	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/signals/iwl0fc5.js	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:09	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:09%20GMT	https://app.lanchinhofelizoficial.site/r.dl	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/r.dl	(from https://connect.facebook.net/en_US/fbevents.js)
13:36:09	1684/1684	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Jan%202026%2016:36:10%20GMT	https://app.lanchinhofelizoficial.site/r.rl	C:/Meus%20Sites/teste/app.lanchinhofelizoficial.site/r.rl	(from https://connect.facebook.net/en_US/fbevents.js)
